url,naziv,cijena,lokacija,lat,lng,Kvadrata,Pravih Kvadrata,Broj soba,Adresa,Godina izgradnje,Primarna orjentacija,stanje,balkon,dodatna kvadratura,Namjesten
https://www.olx.ba/artikal/31090915/trosoban-stan-82m2-cengic-vila-renoviran/,"Trosoban stan,82m2 cengic Vila RENOVIRAN",178900,Novo Sarajevo,43.850312,18.369865,73,73,Trosoban (3),Dzemala Bijedica,1980-1989,no info,no info,0,0,Namjesten
https://www.olx.ba/artikal/31109536/bauland-prodaje-trosoban-novogradnja-pejton/,BAULAND prodaje: Trosoban/ Novogradnja/Pejton,163000,Ilidza,43.833914,18.29901,67,67,Trosoban (3),Prve samostalne brigade,2010+,no info,novogradnja,0,0,Namjesten
https://www.olx.ba/artikal/29115595/prostor-prodaje-novogradnja-trosoban-stan-sa-balkonom/,PROSTOR prodaje: NOVOGRADNJA trosoban stan sa balkonom,103350,"Sarajevo, Novi Grad",43.850438,18.35629,53,53,Trosoban (3),Dzemala Bijedica,Novogradnja,Istok,novogradnja,1,0,Nenamjesten
https://www.olx.ba/artikal/30908536/novogradnja-skenderija-dvoiposoban-52-53m2-akcija-10/,"NOVOGRADNJA Skenderija, dvoiposoban 52-53m2 AKCIJA -10%",182385,Sarajevo - Centar,43.852924,18.410201,52,52,Trosoban (3),Terezija,Novogradnja,no info,novogradnja,0,0,Nenamjesten
https://www.olx.ba/artikal/30050597/prostor-prodaje-novogradnja-sarajevo-waves-ilidza/,"PROSTOR prodaje: NOVOGRADNJA Sarajevo Waves, Ilidza",172422,Ilidza,43.838372,18.297164,62,62,Dvosoban (2),Barska,Novogradnja,Zapad,novogradnja,0,0,Nenamjesten
https://www.olx.ba/artikal/30272731/prostor-prodaje-novogradnja-sarajevo-waves-81m2/,"PROSTOR prodaje: NOVOGRADNJA Sarajevo Waves, 81m2",214652,Ilidza,43.837474,18.298323,81,81,Trosoban (3),Barska,Novogradnja,Istok,novogradnja,0,0,Nenamjesten
https://www.olx.ba/artikal/31378623/novogradnja-breka-eksluzivan-penthaus-sa-dvije-terase/,NOVOGRADNJA BREKA! Eksluzivan penthaus sa dvije terase,479000,Sarajevo - Centar,43.870554,18.416102,160,160,Petosoban i vise,Asima Ferhatovica,2015+,no info,novogradnja,0,0,Nenamjesten
https://www.olx.ba/artikal/29021917/novogradnja-breka-komforan-jednosoban-stan-s-balkonom/,NOVOGRADNJA BREKA! Komforan jednosoban stan s balkonom,98000,Sarajevo - Centar,43.869656,18.416467,40,40,Jednosoban (1),Asima Ferhatovica,2015+,Sjever,novogradnja,1,0,Nenamjesten
https://www.olx.ba/artikal/31132068/novogradnja-skenderija-trosoban-71-m2-akcija-10/,"NOVOGRADNJA Skenderija, trosoban 71 m2. AKCIJA -10%",277329,Sarajevo - Centar,43.854061,18.410609,71,71,Trosoban (3),Terezija,Novogradnja,no info,novogradnja,0,0,Nenamjesten
https://www.olx.ba/artikal/28879174/prostor-prodaje-trosoban-stan-sa-garazom-aerodromsko/,"PROSTOR prodaje: Trosoban stan sa garazom, Aerodromsko",133000,"Sarajevo, Novi Grad",43.828167,18.337837,63,63,Trosoban (3),Andreja Andrejevica,2010+,Jug,no info,0,0,Namjesten
https://www.olx.ba/artikal/29702619/prostor-prodaje-adaptiran-trosoban-stan-hrasno/,"PROSTOR prodaje: Adaptiran trosoban stan, Hrasno",209000,Novo Sarajevo,43.84753,18.375358,80,80,Trosoban (3),Antuna Branka Šimica,1980-1989,Jug,adaptiran,0,0,Nenamjesten
https://www.olx.ba/artikal/30265801/prostor-prodaje-trosoban-stan-dobrinja-3/,"PROSTOR prodaje: Trosoban stan, Dobrinja 3",115000,"Sarajevo, Novi Grad",43.830013,18.35158,64,64,Trosoban (3),Grada Bakua,1980-1989,Istok,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/31426549/dvosoban-stan-u-izgradnji-roh-bau-hadzici/,"Dvosoban stan u izgradnji ROH BAU, Hadzici",64900,Hadzici,43.824073,18.207684,51.5,51.5,Dvosoban (2),Hadzeli,Novogradnja,Jug,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/22626868/stan-sarajevo-stari-grad/,"Stan Sarajevo, Stari grad",220000,Stari Grad,43.863436,18.431389,105,105,cetverosoban (4),Safet bega Basagica 92A,1980-1989,Jugozapad,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/28838865/cetverosoban-stan-sarajevo/,cetverosoban stan Sarajevo,2300,Sarajevo - Centar,43.849234,18.360634,102.46,102.46,cetverosoban (4),Srdjana Aleksica,Novogradnja,Zapad,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/31153043/trosoban-stan-opcina-centar-kosevsko-brdo/,"Trosoban stan opcina Centar, Kosevsko brdo!",113750,Sarajevo - Centar,43.870492,18.40415,65,65,Trosoban (3),Muhameda Hadzijahica,no info,Sjeveroistok,no info,0,0,Namjesten
